GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B	contrast	direction	logFC_ave	power	TF
PDZD3	0.511820206042251	7.058912261778875	5.090652558622651	1.0504568642043893e-5	0.004157193586844536	3.3598403810434085	T3d	1	0.511820206042251	0.994725577073763	0
CDK6	-0.5246720666614646	10.46368445950224	-5.088844549545314	1.0563697003561137e-5	0.004171880234249611	3.3546954747471176	T3d	-1	-0.5191032323365885	0.9830749296709653	0
SKIV2L2	-0.5420923390746246	6.214473386359345	-5.08508239099536	1.0687794054340284e-5	0.004171880234249611	3.3439904861101173	T3d	-1	-0.5420923390746246	0.9996188254440638	0
STRIP1	-0.545190925702034	8.319088062429394	-5.084382974798239	1.0711023718466762e-5	0.004171880234249611	3.3420004430068104	T3d	-1	-0.569934374577751	0.9891989471810174	0
DYNC2H1	0.5934198163576747	5.614020471282546	5.068069388107678	1.1267290149636497e-5	0.004329744973713747	3.2955927527902737	T3d	1	0.6064396300236429	0.999859579748471	0
ZC3H14	0.5353505313611269	4.955933355778536	5.062079399576827	1.1478656247142227e-5	0.004367296308516948	3.2785573813954567	T3d	1	0.5353505313611269	0.9986610566627682	0
NABP1	0.6809119619665172	7.682000816489144	5.058421345086174	1.1609666637309567e-5	0.004400152960668305	3.2681551804751994	T3d	1	0.6124578127725695	0.9889236758577965	0
ATP6V0A2	-0.6200690351023361	8.494294551942843	-5.054414619084745	1.1754867442133414e-5	0.004422486698705156	3.256762545114883	T3d	-1	-0.6200690351023361	0.9878606915654099	0
IGFBP7	0.5374813483885159	10.83019170457609	5.054319071553387	1.1758351921624798e-5	0.004422486698705156	3.2564908810274815	T3d	1	0.5374813483885159	0.9999999849673018	0
NDRG3	0.7148719302154589	10.925059853484363	5.0528990650339995	1.1810258451770426e-5	0.004433548527064234	3.2524535438738535	T3d	1	0.7148719302154589	0.984056833237631	0
PHF20	0.5054389187093768	8.207785467535258	5.051133864633891	1.1875100169957731e-5	0.004449414908547432	3.2474349542976313	T3d	1	0.542647966854752	0.999999808884241	1
IGF1R	0.5617471665756355	9.310158205910128	5.046067418906661	1.206317593099379e-5	0.004481261806314655	3.233031907686456	T3d	1	0.5343327758282186	0.995010629734102	0
ASB3	-0.7459073862025285	6.775113160794929	-5.041707974624484	1.2227369883957158e-5	0.0045043345162800235	3.2206402012921505	T3d	-1	-0.6366620407706151	0.9839035988213627	0
SIK3	-0.5389611405997528	8.267383113485318	-5.038419800768203	1.2352680598369663e-5	0.004533548795249696	3.2112944751229175	T3d	-1	-0.5329856242430008	0.9999391331133701	0
IGFBP1	0.7033514872082378	5.351111629021908	5.031298279137032	1.262846247916067e-5	0.004592007194175096	3.1910561866402016	T3d	1	0.7033514872082378	0.8582461895001952	0
ABCA1	-0.6216689081644908	6.988895448328408	-5.0299790903090305	1.2680214612804615e-5	0.004593873927849237	3.1873076552879045	T3d	-1	-0.5617942006273335	0.9962790686707389	0
ANKFN1	0.6766117648141652	7.487510645817162	5.028175325095412	1.2751317431115602e-5	0.004611157146044013	3.182182385117457	T3d	1	0.6766117648141652	0.9611567509013407	0
VWC2	-0.6358092907341257	7.535478873256318	-5.0183381971439145	1.3146104285717542e-5	0.004693635538127457	3.1542351019098103	T3d	-1	-0.6358092907341257	0.9886714323121605	0
DHX57	-0.6560855687718004	4.728522383056812	-5.017124056845879	1.319566341370298e-5	0.004697852845275227	3.150786226633194	T3d	-1	-0.5973858210486256	0.9989859918688117	0
ABAT	0.6740464373448294	10.05471685677396	5.016881413741958	1.320558988189034e-5	0.004697852845275227	3.150096990160808	T3d	1	0.6740464373448294	0.999956578122339	0
NCSTN	1.0171586152566405	9.556965816015328	5.013992595777689	1.332434114147332e-5	0.004723047571090157	3.1418915374177114	T3d	1	1.0171586152566405	0.9996190092705728	0
ZBTB16	-0.7843491419050324	8.24860754733537	-5.009681707252972	1.350352173403467e-5	0.004765876458752042	3.12964797599874	T3d	-1	-0.7028147584935583	0.9420353432337771	1
SUSD1	-0.8577661901868954	5.832697729089106	-5.007196005241047	1.3607923039898073e-5	0.004783330704598144	3.1225888534398916	T3d	-1	-0.7303398777004471	0.8979563022999439	0
PIGB	-0.5050899716103441	8.607336266193094	-5.005060103482929	1.3698271577360955e-5	0.004795222301159159	3.1165235008210175	T3d	-1	-0.5050899716103441	0.9996041525085877	0
GRIP1	0.6255288781046247	7.097003565485354	5.0028284566793975	1.3793305553101125e-5	0.004819928779481174	3.1101866316978306	T3d	1	0.7171277119108774	0.9840516799872132	0
PMS1	0.9319854236846581	4.299271722037506	5.000589328638628	1.3889315114879716e-5	0.0048448881063733705	3.103828902961057	T3d	1	0.9319854236846581	0.9990428770589164	0
EIF4G3	0.5499305496872129	10.386635613561998	5.000004595010237	1.3914496307349184e-5	0.004845096449183051	3.1021686872071204	T3d	1	0.5499305496872129	0.9610972010705822	0
CD163	-0.5085306885717573	4.83325426634475	-4.9980421221312215	1.3999340342328748e-5	0.004856980618105057	3.0965968925657066	T3d	-1	-0.5085306885717573	0.9956795050598551	0
CNTNAP1	-0.5683520998765976	8.23677397884047	-4.9958094138029185	1.4096491412575818e-5	0.004856980618105057	3.0902582156091505	T3d	-1	-0.6204495952478348	0.906293784372171	0
